Starting price: $10.00
On day 1, price is: $9.52
On day 2, price is: $9.33
On day 3, price is: $9.15
On day 4, price is: $9.57
On day 5, price is: $10.73
On day 6, price is: $10.40
On day 7, price is: $10.16
On day 8, price is: $10.44
On day 9, price is: $10.14
On day 10, price is: $10.71
On day 11, price is: $10.54
On day 12, price is: $10.56
On day 13, price is: $11.69
On day 14, price is: $11.28
On day 15, price is: $12.19
On day 16, price is: $11.85
On day 17, price is: $12.04
On day 18, price is: $12.08
On day 19, price is: $12.65
On day 20, price is: $12.08
On day 21, price is: $11.51
On day 22, price is: $12.59
On day 23, price is: $12.20
On day 24, price is: $11.62
On day 25, price is: $12.55
On day 26, price is: $12.11
On day 27, price is: $14.03
On day 28, price is: $15.71
On day 29, price is: $15.55
On day 30, price is: $16.47
On day 31, price is: $16.39
On day 32, price is: $17.22
On day 33, price is: $16.61
On day 34, price is: $18.20
On day 35, price is: $18.01
On day 36, price is: $17.98
On day 37, price is: $17.75
On day 38, price is: $20.37
On day 39, price is: $21.86
On day 40, price is: $21.04
On day 41, price is: $20.44
On day 42, price is: $20.71
On day 43, price is: $23.85
On day 44, price is: $25.12
On day 45, price is: $24.08
On day 46, price is: $23.10
On day 47, price is: $26.41
On day 48, price is: $26.27
On day 49, price is: $29.80
On day 50, price is: $29.21
On day 51, price is: $33.31
On day 52, price is: $37.83
On day 53, price is: $41.15
On day 54, price is: $44.15
On day 55, price is: $43.16
On day 56, price is: $41.61
On day 57, price is: $46.46
On day 58, price is: $52.48
On day 59, price is: $51.18
On day 60, price is: $50.85
On day 61, price is: $50.58
On day 62, price is: $52.92
On day 63, price is: $51.96
On day 64, price is: $50.99
On day 65, price is: $57.50
On day 66, price is: $58.22
On day 67, price is: $60.56
On day 68, price is: $68.34
On day 69, price is: $66.23
On day 70, price is: $64.18
On day 71, price is: $67.55
On day 72, price is: $71.42
On day 73, price is: $71.15
On day 74, price is: $70.36
On day 75, price is: $70.86
On day 76, price is: $70.03
On day 77, price is: $77.93
On day 78, price is: $83.77
On day 79, price is: $88.87
On day 80, price is: $85.03
On day 81, price is: $88.28
On day 82, price is: $94.06
On day 83, price is: $99.23
On day 84, price is: $95.26
On day 85, price is: $108.56
